Date,S&P 500 Index,Asset Manager/Institutional (Smart Money) Net position
1/3/2023,"3,846.00","86,884"
1/10/2023,"3,940.75","92,202"
1/17/2023,"4,009.50","105,126"
1/24/2023,"4,032.75","105,528"
1/31/2023,"4,090.00","113,548"
2/7/2023,"4,175.75","110,223"
2/14/2023,"4,145.50","110,073"
2/21/2023,"4,005.75","106,622"
2/28/2023,"3,975.50","97,256"
3/7/2023,"4,027.00","101,954"
3/14/2023,"3,920.50","96,637"
3/21/2023,"4,035.75","94,133"
3/28/2023,"4,001.50","84,773"
4/4/2023,"4,129.00","96,367"
4/11/2023,"4,136.50","104,861"
